"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","leaf_habit","mycorrhizal_reference"
"926","Copaifera langsdorffii","tropical","AM",0,"angiosperm","evergreen","Carneiro MAC, Siqueria JO, Moreira FMS, de Carvalho D, Botelho SA & Junior OJS. 1998. Occurrence of the arbuscular mycorrhiza in native woody species in southeastern Brazil. CERNE. 4(1): 129-144."
"927","Coprosma alpina","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"928","Coprosma cheesemanii","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"929","Coprosma ciliata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"930","Coprosma ernodeoides","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"931","Coprosma foetidissima","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"933","Coprosma linariifolia","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"934","Coprosma lucida","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"935","Coprosma ochracea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"936","Coprosma parviflora","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"937","Coprosma rhamnoides","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"938","Coprosma rugosa","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"939","Coprosma serrulata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"941","Cordia alliodora","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"942","Cordia bicolor","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"944","Cordia caffra","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"947","Cordia dichotoma","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"951","Cordia megalantha","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"952","Cordia nodosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"953","Cordia panamensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"955","Cordia scabrifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"957","Cordia sprucei","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"959","Cordia ucayaliensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"960","Coriaria arborea","temperate","AM",1,"angiosperm","evergreen","10.1111/nph.15440"
"962","Coriaria sinica","tropical","AM",1,"angiosperm","deciduous","10.1111/nph.15440"
"963","Cornus alternifolia","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"964","Cornus amomum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"966","Cornus capitata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"967","Cornus controversa","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"968","Cornus disciflora","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"970","Cornus florida","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"971","Cornus glabrata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"972","Cornus kousa","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"973","Cornus macrophylla","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"974","Cornus nuttallii","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"976","Cornus officinalis","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"977","Cornus racemosa","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"979","Cornus sanguinea","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"980","Cornus sericea","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"984","Correa reflexa","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"986","Corylus americana","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"987","Corylus avellana","boreal","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"988","Corylus cornuta","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"989","Corylus heterophylla","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"990","Corylus mandshurica","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"991","Corylus sieboldiana","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"992","Corymbia citriodora","tropical","ECM",0,"angiosperm","evergreen","10.1007/s11104-012-1290-8"
"993","Corynanthe pachyceras","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"994","Corynocarpus laevigatus","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"995","Cosmibuena skinneri","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"997","Costus speciosus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"998","Cotinus coggygria","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1000","Cotoneaster integerrimus","temperate","AM",0,"angiosperm","deciduous","10.1890/12-1700.1"
"1003","Couepia bracteosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1004","Couepia caryophylloides","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1005","Couepia chrysocalyx","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1006","Couepia elata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1007","Couepia guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1008","Couepia obovata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1009","Couepia parillo","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1010","Couepia robusta","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1011","Coula edulis","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1012","Couma guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1013","Couma macrocarpa","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1015","Couratari guianensis","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1016","Couratari multiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1017","Couratari oblongifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1018","Couratari stellata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1021","Coussarea cephaeloides","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1022","Coussarea impetiolaris","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1023","Coussarea klugii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1024","Coussarea macrophylla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1025","Coussarea micrococca","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1026","Coussarea racemosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1027","Coutarea hexandra","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1029","Cratoxylum cochinchinense","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1030","Cremastosperma cauliflorum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1031","Cremastosperma gracilipes","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1032","Crepidospermum goudotianum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1033","Crepidospermum rhoifolium","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1034","Crescentia alata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1035","Crescentia cujete","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1037","Crossopteryx febrifuga","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1040","Croton urucurana","tropical","AM",0,"angiosperm","evergreen","10.1017/S0266467403003341"
"1041","Cryptocarya chinensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12842"
"1042","Cryptocarya concinna","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12842"
"1044","Cryptomeria japonica","tropical","AM",0,"gymnosperm","evergreen","10.1111/nph.12221"
"1045","Cunninghamia lanceolata","tropical","AM",0,"gymnosperm","evergreen","10.1371/journal.pone.0057153"
"1047","Cupania cinerea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1048","Cupania dentata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1049","Cupania guatemalensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1050","Cupania livida","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1051","Cupania rufescens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1052","Cupania scrobiculata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1053","Cupania sylvatica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1054","Cupania verde","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1055","Cupaniopsis anacardioides","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1056","Cupressus funebris","tropical","AM",0,"gymnosperm","evergreen","10.1890/11-1749.1"
"1059","Curatella americana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1060","Curtisia dentata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1061","Cussonia spicata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1063","Cyanea hirtella","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1065","Cyanea pilosa","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1068","Cycas revoluta","tropical","AM",1,"gymnosperm","evergreen","10.1007/s00572-002-0179-4"
"1069","Cydonia oblonga","temperate","AM",0,"angiosperm","deciduous","10.1890/12-1700.1"
"1070","Cymbopetalum baillonii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1071","Cymbopetalum coriaceum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1072","Cyrilla racemiflora","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1074","Cytisus scoparius","boreal","AM",1,"angiosperm","evergreen","10.1890/12-1700.1"
"1075","Dacrycarpus dacrydioides","temperate","AM",0,"gymnosperm","evergreen","10.1111/1365-2745.12562"
"1076","Dacrycarpus imbricatus","tropical","AM",0,"gymnosperm","evergreen","10.1111/1365-2435.12424"
"1077","Dacrydium cupressinum","temperate","AM",0,"gymnosperm","evergreen","10.1111/j.1365-2745.2011.01821.x"
"1078","Dacryodes excelsa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1079","Dacryodes gorda","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1080","Dacryodes laxa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1081","Dacryodes nitens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1082","Dacryodes peruviana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1083","Dacryodes rostrata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1084","Dalbergia sissoo","tropical","AM",1,"angiosperm","deciduous","10.1111/nph.12221"
"1085","Damnacanthus indicus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1086","Daphne gnidium","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1087","Daphne mezereum","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1089","Daphniphyllum calycinum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1090","Daphniphyllum glaucescens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1091","Daphniphyllum humile","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1092","Daphniphyllum macropodum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1093","Daphniphyllum oldhamii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1094","Daphniphyllum pentandrum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1099","Davilla rugosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
