"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","leaf_habit","mycorrhizal_reference"
"2938","Pouteria procera","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2939","Pouteria putamen-ovi","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2940","Pouteria ramiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2941","Pouteria redondita","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2942","Pouteria reticulata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2943","Pouteria rhynchocarpa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2944","Pouteria rodriguesiana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2945","Pouteria rostrata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2946","Pouteria sagotiana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2947","Pouteria sandwicensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2948","Pouteria singularis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2949","Pouteria smedobov","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2950","Pouteria subrotata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2951","Pouteria torta","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2952","Pouteria tortachica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2953","Pouteria tortachicorden","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2954","Pouteria trilocularis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2955","Pouteria triplarifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2956","Pouteria venosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2957","Pouteria vernicosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2958","Pradosia atroviolacea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2959","Pradosia cochlearia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2966","Prestoea schultzeana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2967","Prionostemma aspera","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2968","Prioria copaifera","tropical","AM",0,"angiosperm","evergreen","10.1007/s00572-005-0033-6 2006"
"2969","Prosopis glandulosa","temperate","AM",1,"angiosperm","deciduous","10.1111/nph.12221"
"2970","Prosopis velutina","temperate","AM",1,"angiosperm","deciduous","10.1111/nph.12221"
"2971","Protium altsonii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2972","Protium amazonicum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2973","Protium apiculatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2974","Protium aracouchini","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2975","Protium brillanodu","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2976","Protium carnosum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2977","Protium costaricense","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2979","Protium decandrum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2981","Protium divaricatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2983","Protium giganteum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2984","Protium glabrescens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2985","Protium grannodu","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2986","Protium guianense","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2987","Protium hebetatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2988","Protium heptaphyllum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2989","Protium krukoffii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2990","Protium nodulosum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2991","Protium opacum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2993","Protium panamense","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2994","Protium paniculatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2996","Protium polybotryum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2997","Protium puncticulatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2998","Protium robustum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2999","Protium sagotianum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3000","Protium spruceanum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3001","Protium subserratum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3002","Protium tenuifolium","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3003","Protium trifoliolatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3004","Protium unifoliolatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3006","Prumnopitys andina","temperate","AM",0,"gymnosperm","evergreen","Godoy R & Mayr R. 1989. Morphological characterization of vesicular-arbuscular mycorrhiza in endemic conifers of southern Chile. Bosque 10: 89-98."
"3007","Prumnopitys ferruginea","temperate","AM",0,"gymnosperm","evergreen","10.1111/j.1365-2745.2011.01821.x"
"3008","Prumnopitys taxifolia","temperate","AM",0,"gymnosperm","evergreen","10.1111/1365-2745.12562"
"3009","Prunus armeniaca","temperate","AM",0,"angiosperm","deciduous","10.1890/12-1700.1"
"3010","Prunus avium","boreal","AM",0,"angiosperm","deciduous","10.3389/fpls.2017.00315"
"3013","Prunus davidiana","temperate","AM",0,"angiosperm","deciduous","10.1016/j.scienta.2003.08.001"
"3014","Prunus japonica","temperate","AM",0,"angiosperm","evergreen","10.1890/11-1749.1"
"3015","Prunus maackii","temperate","AM",0,"angiosperm","deciduous","10.1890/11-1749.1"
"3016","Prunus mahaleb","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.12221"
"3017","Prunus myrtifolia","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.12221"
"3018","Prunus pensylvanica","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.12221"
"3019","Prunus persica","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.12221"
"3020","Prunus sargentii","temperate","AM",0,"angiosperm","deciduous","10.1111/1365-2435.12384"
"3021","Prunus serotina","temperate","AM",0,"angiosperm","deciduous","10.1111/j.1469-8137.2009.02799.x"
"3022","Prunus sibirica","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.14486"
"3023","Prunus tomentosa","temperate","AM",0,"angiosperm","deciduous","10.1890/11-1749.1"
"3024","Prunus virginiana","temperate","AM",0,"angiosperm","deciduous","10.7717/peerj.1090"
"3027","Pseudobombax septenatum","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3028","Pseudolachnostylis maprouneifolia","tropical","AM",0,"angiosperm","deciduous","10.2307/2261560"
"3030","Pseudolmedia laevigata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3031","Pseudolmedia laevis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3032","Pseudolmedia macrophylla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3033","Pseudolmedia oxyphyllaria","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3034","Pseudolmedia rigida","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3036","Pseudomalmea diclina","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3037","Pseudopanax crassifolius","temperate","AM",0,"angiosperm","evergreen","10.1111/j.1365-2745.2011.01821.x"
"3039","Pseudotsuga menziesii","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3040","Pseudowintera colorata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3041","Psidium guajava","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12221"
"3042","Psychotria asiatica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3044","Psychotria borjensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3046","Psychotria caerulea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3047","Psychotria calocarpa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3048","Psychotria capensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3049","Psychotria carthagenensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3050","Psychotria chiapensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3051","Psychotria deflexa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3052","Psychotria dracula","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3053","Psychotria faxlucens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3054","Psychotria flava","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3055","Psychotria furcata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3056","Psychotria graciliflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3058","Psychotria hainanensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3059","Psychotria henryi","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3060","Psychotria horizontalis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3062","Psychotria limonensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3063","Psychotria marginata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3066","Psychotria poeppigiana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3067","Psychotria pubescens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3069","Psychotria rubra","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3070","Psychotria serpens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3071","Psychotria simiarum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3073","Psychotria viridis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3074","Psydrax odorata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3075","Ptaeroxylon obliquum","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3076","Pteleopsis myrtifolia","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3077","Pterocarpus angolensis","tropical","AM",1,"angiosperm","deciduous","10.2307/2261560"
"3078","Pterocarpus indicus","tropical","AM",1,"angiosperm","evergreen","10.1111/nph.12221"
"3079","Pterocarpus marsupium","tropical","AM",1,"angiosperm","deciduous","10.1111/nph.12221"
"3080","Pterocarpus officinalis","tropical","AM",1,"angiosperm","evergreen","10.1111/nph.12221"
"3081","Pterocarpus rohrii","tropical","AM",1,"angiosperm","deciduous","10.1139/b97-080"
"3082","Pteroceltis tatarinowii","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3083","Pterodon pubescens","tropical","AM",0,"angiosperm","deciduous","Carneiro MAC, Siqueria JO, Moreira FMS, de Carvalho D, Botelho SA & Junior OJS. 1998. Occurrence of the arbuscular mycorrhiza in native woody species in southeastern Brazil. CERNE. 4(1): 129-144."
"3084","Pterogyne nitens","tropical","AM",0,"angiosperm","evergreen","10.1017/S0266467403003341"
"3085","Pterospermum acerifolium","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3086","Pterospermum heterophyllum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3087","Pterospermum menglunense","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3088","Ptychopetalum olacoides","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3089","Pultenaea daphnoides","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3090","Pultenaea flexilis","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3095","Purshia tridentata","temperate","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3096","Pycnanthus angolensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3097","Pyrola media","boreal","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3098","Pyrola minor","boreal","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3099","Pyrus betulifolia","temperate","AM",0,"angiosperm","deciduous","10.1111/geb.12048"
"3101","Pyrus pashia","tropical","AM",0,"angiosperm","deciduous","10.1264/jsme2.ME12118"
"3102","Qualea albiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3103","Qualea dichotoma","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3104","Qualea gracilior","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3105","Qualea grandiflora","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3106","Qualea multiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3107","Qualea paraensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3108","Qualea parviflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3109","Qualea rosea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3110","Quararibea asterolepis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3111","Quararibea muricata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3112","Quararibea ochrocalyx","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3113","Quararibea wittii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3114","Quararibea yunckeri","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3115","Quercus acuta","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3116","Quercus acutissima","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3118","Quercus agrifolia","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3119","Quercus alba","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3120","Quercus aliena","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3121","Quercus arizonica","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3123","Quercus austrina","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3128","Quercus canariensis","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3130","Quercus cerris","boreal","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3131","Quercus chapmanii","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3133","Quercus chrysolepis","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3134","Quercus coccifera","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3135","Quercus coccinea","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3136","Quercus copeyensis","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3137","Quercus dentata","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3138","Quercus douglasii","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3140","Quercus durata","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3141","Quercus ellipsoidalis","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3143","Quercus fabri","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3144","Quercus faginea","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3145","Quercus falcata","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3147","Quercus gambelii","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3148","Quercus geminata","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3152","Quercus hemisphaerica","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3153","Quercus humilis","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3154","Quercus ilex","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3155","Quercus ilicifolia","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3156","Quercus incana","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3157","Quercus kelloggii","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3158","Quercus laevis","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3160","Quercus laurifolia","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3162","Quercus liaotungensis","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3163","Quercus lobata","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3164","Quercus lusitanica","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3166","Quercus macrocarpa","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3168","Quercus michauxii","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3169","Quercus minima","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3171","Quercus mongolica","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3172","Quercus myrsinaefolia","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3173","Quercus myrsinifolia","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3174","Quercus myrtifolia","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3175","Quercus nigra","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3176","Quercus oleoides","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3178","Quercus patelliformis","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3180","Quercus petraea","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3182","Quercus prinus","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3183","Quercus pubescens","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3184","Quercus pumila","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3185","Quercus pyrenaica","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3186","Quercus robur","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3187","Quercus rotundifolia","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3188","Quercus rubra","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3190","Quercus salicina","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3193","Quercus serrata","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3194","Quercus shumardii","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3195","Quercus stellata","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3197","Quercus suber","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3198","Quercus turbinella","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3199","Quercus variabilis","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3200","Quercus velutina","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3201","Quercus vestita","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3202","Quercus virginia","temperate","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3203","Quercus virginiana","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3204","Quercus wislizeni","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3206","Quercus xalapensis","tropical","ECM",0,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"3207","Quiina amazonica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3208","Quiina florida","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3209","Quiina macrophylla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3210","Quiina obovata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3212","Quintinia acutifolia","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3214","Quisqualis indica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3215","Radermachera sinica","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3216","Randia armata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3217","Randia cochinchinensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3220","Rapanea australis","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3221","Rapanea divaricata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3222","Rapanea ferruginea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3223","Rapanea guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3224","Rapanea melanophloeos","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3225","Rapanea neriifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3228","Rauvolfia praecox","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3229","Rauvolfia vomitoria","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3230","Recordoxylon speciosum","tropical","AM",1,"angiosperm","evergreen","10.1139/b97-080"
"3232","Reinhardtia gracilis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3233","Remijia morilloi","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3234","Retiniphyllum concolor","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3235","Retiniphyllum truncatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3236","Rhamnus cathartica","temperate","AM",0,"angiosperm","deciduous","10.1890/11-1749.1"
"3238","Rhaphiolepis indica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12842"
"3243","Rhizophora mangle","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12221"
"3245","Rhodomyrtus tomentosa","tropical","AM",0,"angiosperm","evergreen","10.2307/2444994"
"3246","Rhoicissus tomentosa","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3247","Rhopalostylis sapida","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3248","Rhus chinensis","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3249","Rhus chirindensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3252","Rhus diversiloba","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3254","Rhus laevigata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3256","Rhus microphylla","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3257","Rhus ovata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3258","Rhus pyroides","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3259","Rhus sandwicensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3261","Rhus succedanea","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3263","Rhus tomentosa","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3264","Rhus trilobata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3265","Rhus typhina","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3269","Ribes californicum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3270","Ribes diacanthum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3271","Ribes divaricatum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3272","Ribes himalense","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3274","Ribes komarovii","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3275","Ribes malvaceum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3276","Ribes mandshuricum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3277","Ribes maximowiczianum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3278","Ribes montigenum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3279","Ribes nigrum","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3280","Ribes rubrum","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3281","Ribes sanguineum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3282","Ribes spicatum","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3284","Ribes uva-crispa","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"3286","Rinorea apiculata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3287","Rinorea deflexiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3288","Rinorea guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3289","Rinorea lindeniana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3290","Rinorea neglecta","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3291","Rinorea viridifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3292","Rockinghamia angustifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3293","Rollinia centrantha","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3294","Rollinia chrysocarpa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3295","Rollinia cuspidata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3296","Rollinia dolichopetala","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3297","Rollinia exsucca","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3298","Rollinia flacaglabra","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3299","Rollinia glomerulifera","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3300","Rollinia palida","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"3301","Rollinia pittieri","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
